Methylation_Atlas	ATAC_Atlas	ATAC_Tissue	Match_Quality
Pancreas-Acinar	Acinar	Pancreatic	Perfect
Adipocytes	Adipocyte		Perfect
Pancreas-Alpha	Alpha 1,Alpha 2	Pancreatic	Perfect
Lung-Alveolar-Endothel	Alveolar Cap Endo		Perfect
Lung-Alveolar-Epithel	Alveolar Type 1,Alveolar Type 2		Good
Lung-Alveolar-Macrophages	Macrophage Gen or Alv		Good
Coronary-Artery-Smooth-Muscle	Vasc Sm Muscle 1,Vasc Sm Muscle 2	Vascular	Good
Blood-B			
Blood-B-Mem	Memory B		Perfect
Breast-Basal-Epithel	Mammary Basal Epi	Mammary	Perfect
Pancreas-Beta	Beta 1,Beta 2	Pancreatic	Perfect
Lung-Bronchus-Epithel	Cilliated	Lung	Perfect
Bronchus-Smooth-Muscle	Sm Ms General		Questionable
Heart-Cardiomyocyte	V Cardiomyocyte,A Cardiomyocyte		Good
Pancreas-Delta	Delta Gamma	Pancreatic	Questionable
Pancreas-Duct	Ductal	Pancreatic	Perfect
Aorta-Endothel	Endothelial General 1,Endothelial General 2,Endothelial General 3		Questionable
Gallbladder-Epithel			
Bone_marrow-Erythrocyte_progenitors			
Heart-Fibroblasts	Cardiac Fibroblast		Perfect
Kidney-Glomerular-Endothel			
Kidney-Glomerular-Epithel			
Kidney-Glomerular-Podocytes			
Blood-Granulocytes			
Liver-Hepatocytes	Hepatocyte		Perfect
Lung-Interstitial-Macrophages	Macrophage General		Questionable
Pancreas-Islet-Endothel	Endothelial General 1,Endothelial General 2,Endothelial General 3		Questionable
Epidermal-Keratinocytes	Keratinocyte 1,Keratinocyte 2		Good
Colon-Left-Endocrine			
Colon-Left-Epithelial	Colon Epithelial 1,Colon Epithelial 2,Colon Epithelial 3		Good
Breast-Luminal-Epithel	Mammary Luminal Epi 1,Mammary Luminal Epi 2		
Liver-Macrophages	Macrophage General		Questionable
Blood-Monocytes			
Skeletal-Muscle	Type I Skeletal Myocyte,Type II Skeletal Myocyte		Good
Blood-NK	Natural Killer T		
Neuron	GABA 1,GABA 2,Enteric Neuron	Neurons	Good
Oligodendrocytes	Oligodendrocyte		
Bone-Osteoblasts			
Tonsil-Palatine-Epithel			
Tonsil-Pharyngeal-Epithel			
Lung-Pleura	Mesothelial		Questionable
Colon-Right-Endocrine			
Colon-Right-Epithel			
Prostate-Smooth-Muscle	Sm Ms General		Good
Blood-T-CD3			
Blood-T-CD4			
Blood-T-CD8			
Blood-T-CenMem-CD4			
Blood-T-Eff-CD8			
Blood-T-EffMem-CD8			
Blood-T-Naive-CD4	Naive T		Good
Blood-T-Naive-CD8	Naive T		Good
Kidney-Tubular-Endothel			
Kidney-Tubular-Epithel			
Saphenous-Vein-Endothel	Endothelial Exocrine		Questionable
Gastric-antrum-Endocrine	Chief		Questionable
Gastric-antrum-Epithel			
Gastric-body-Epithel			
Gastric-fundus-Epithel			
Small-int-Endocrine			
Small-int-Epithel	Enterocyte,SI Goblet	Small Intestine	Good
